file,line,type,field,ts_type,optional,nullable,runtime_validator_strictness
entities.ts,86,FieldReading,page,number|null,no,yes,z.number().int().nullable()
entities.ts,87,FieldReading,snippet,string|null,no,yes,z.string().nullable()
entities.ts,89,FieldReading,confidence_raw,number|null,no,yes,z.number().nullable() (no 0-1 bound)
entities.ts,90,FieldReading,cost_usd,number,no,NO,z.number() REQUIRED NON-NULL no min
entities.ts,91,FieldReading,latency_ms,number,no,NO,z.number() REQUIRED NON-NULL no int/min
entities.ts,92,FieldReading,line_coords,LineCoords|null,no,yes,LineCoords.nullable()
entities.ts,103,Field,id,string,no,no,z.string()
entities.ts,104,Field,order_id,string,no,no,z.string()
entities.ts,105,Field,path,string,no,no,z.string()
entities.ts,106,Field,value,string|null,no,yes,z.string().nullable()
entities.ts,107,Field,na_reason,NaReason|null,no,yes,NaReason.nullable()
entities.ts,108,Field,state,FieldState,no,no,FieldState enum closed
entities.ts,109,Field,source_doc_id,string|null,no,yes,z.string().nullable()
entities.ts,110,Field,source_page,number|null,no,yes,z.number().int().nullable()
entities.ts,111,Field,source_snippet,string|null,no,yes,z.string().nullable()
entities.ts,112,Field,source_line_coords,LineCoords|null,no,yes,LineCoords.nullable()
entities.ts,113,Field,engine_id,string|null,no,yes,z.string().nullable()
entities.ts,114,Field,engine_confidence_raw,number|null,no,yes,z.number().nullable()
entities.ts,115,Field,rule_refs,string[],no,no,z.array(z.string()) required
entities.ts,116,Field,approved_by,string|null,no,yes,z.string().nullable()
entities.ts,117,Field,approved_at,string|null,no,yes,z.string().nullable()
entities.ts,119,Field,readings,FieldReading[]|undefined,yes,no,z.array(FieldReading).optional()
entities.ts,127,Field,excluded_reason,string|null|undefined,yes,yes,z.string().nullable().optional() three-state
entities.ts,135,Field,asking,string|null|undefined,yes,yes,z.string().nullable().optional()
entities.ts,136,Field,why,string|null|undefined,yes,yes,z.string().nullable().optional()
entities.ts,143,Field,consequence,string|null|undefined,yes,yes,z.string().nullable().optional()
entities.ts,150,Field,source_excerpt,SourceExcerpt|null|undefined,yes,yes,SourceExcerpt.nullable().optional()
entities.ts,155,Rule,id,string,no,no,z.string()
entities.ts,156,Rule,code,string,no,no,z.string()
entities.ts,157,Rule,text,string,no,no,z.string()
entities.ts,158,Rule,origin,RuleOrigin,no,no,enum closed
entities.ts,159,Rule,status,RuleStatus,no,no,enum closed
entities.ts,160,Rule,jurisdiction_scope,string|null,no,yes,z.string().nullable()
entities.ts,161,Rule,version,number,no,no,z.number().int()
entities.ts,162,Rule,confirmed_by,string|null,no,yes,z.string().nullable()
entities.ts,163,Rule,source_doc_ref,string|null,no,yes,z.string().nullable()
entities.ts,168,Escalation,id,string,no,no,z.string()
entities.ts,169,Escalation,field_path_cluster,string,no,no,z.string()
entities.ts,170,Escalation,order_ids,string[],no,no,z.array(z.string())
entities.ts,171,Escalation,question,string,no,no,z.string()
entities.ts,172,Escalation,resolution,string|null,no,yes,z.string().nullable()
entities.ts,173,Escalation,rule_id,string|null,no,yes,z.string().nullable()
entities.ts,174,Escalation,resolved_by,string|null,no,yes,z.string().nullable()
entities.ts,187,Escalation,raised_by,string|null,no,yes,z.string().nullable()
entities.ts,188,Escalation,age,string|null,no,yes,z.string().nullable() (label not timestamp)
entities.ts,189,Escalation,context,string|null,no,yes,z.string().nullable()
entities.ts,190,Escalation,excerpt,SourceExcerpt|null,no,yes,SourceExcerpt.nullable()
entities.ts,191,Escalation,identity,object|null,no,yes,inline z.object(...).nullable()
entities.ts,193,Escalation.identity,debtor_label,string,no,no,z.string()
entities.ts,194,Escalation.identity,debtor,string,no,no,z.string()
entities.ts,195,Escalation.identity,owner_label,string,no,no,z.string()
entities.ts,196,Escalation.identity,owner,string,no,no,z.string()
entities.ts,199,Escalation,qc_owner,string|null,no,yes,z.string().nullable()
entities.ts,205,Bug,id,string,no,no,z.string()
entities.ts,206,Bug,order_id,string,no,no,z.string()
entities.ts,207,Bug,field_id,string|null,no,yes,z.string().nullable()
entities.ts,208,Bug,description,string,no,no,z.string()
entities.ts,209,Bug,upstream_source,string|null,no,yes,z.string().nullable()
entities.ts,210,Bug,status,string,no,no,z.string() OPEN vocabulary
entities.ts,215,GoldenField,id,string,no,no,z.string()
entities.ts,216,GoldenField,order_id,string,no,no,z.string()
entities.ts,217,GoldenField,path,string,no,no,z.string()
entities.ts,218,GoldenField,value,string|null,no,yes,z.string().nullable()
entities.ts,219,GoldenField,tag,GoldenTag,no,no,enum closed
entities.ts,220,GoldenField,source_citation,string|null,no,yes,z.string().nullable()
entities.ts,221,GoldenField,corrected_from,string|null,no,yes,z.string().nullable()
entities.ts,222,GoldenField,corrected_by,string|null,no,yes,z.string().nullable()
entities.ts,223,GoldenField,corrected_at,string|null,no,yes,z.string().nullable()
entities.ts,224,GoldenField,correction_reason,string|null,no,yes,z.string().nullable()
entities.ts,229,Reconciliation,id,string,no,no,z.string()
entities.ts,230,Reconciliation,order_id,string,no,no,z.string()
entities.ts,231,Reconciliation,path,string,no,no,z.string()
entities.ts,232,Reconciliation,value_a,string|null,no,yes,z.string().nullable()
entities.ts,233,Reconciliation,value_b,string|null,no,yes,z.string().nullable()
entities.ts,234,Reconciliation,ruling_value,string|null,no,yes,z.string().nullable()
entities.ts,235,Reconciliation,citation,string|null,no,yes,z.string().nullable()
entities.ts,236,Reconciliation,reason,string|null,no,yes,z.string().nullable()
entities.ts,237,Reconciliation,ruled_by,string|null,no,yes,z.string().nullable()
entities.ts,238,Reconciliation,general_rule_id,string|null,no,yes,z.string().nullable()
entities.ts,243,Report,id,string,no,no,z.string()
entities.ts,244,Report,order_id,string,no,no,z.string()
entities.ts,245,Report,version,number,no,no,z.number().int()
entities.ts,246,Report,shape,string,no,no,z.string()
entities.ts,247,Report,rendered_at,string,no,no,z.string()
entities.ts,252,Report,supersedes,number|null,no,yes,z.number().int().nullable()
entities.ts,253,Report,reason,string|null,no,yes,z.string().nullable()
entities.ts,264,ReceiptStep,id,string,no,no,z.string()
entities.ts,265,ReceiptStep,at,string|null,no,yes,z.string().nullable()
entities.ts,266,ReceiptStep,what,string,no,no,z.string()
entities.ts,267,ReceiptStep,who,string,no,no,z.string()
entities.ts,268,ReceiptStep,done,boolean,no,no,z.boolean()
entities.ts,274,Delivery,id,string,no,no,z.string()
entities.ts,275,Delivery,report_id,string,no,no,z.string()
entities.ts,276,Delivery,method,string,no,no,z.string() OPEN vocabulary
entities.ts,277,Delivery,status,DeliveryStatus,no,no,enum closed
entities.ts,278,Delivery,attempted_at,string|null,no,yes,z.string().nullable()
entities.ts,279,Delivery,delivered_at,string|null,no,yes,z.string().nullable()
entities.ts,280,Delivery,evidence,string|null,no,yes,z.string().nullable()
entities.ts,282,Delivery,receipt,ReceiptStep[],no,no,z.array(ReceiptStep) required
entities.ts,287,Complaint,id,string,no,no,z.string()
entities.ts,288,Complaint,order_id,string,no,no,z.string()
entities.ts,289,Complaint,field_path,string,no,no,z.string()
entities.ts,290,Complaint,shipped_value,string|null,no,yes,z.string().nullable()
entities.ts,291,Complaint,client_value,string|null,no,yes,z.string().nullable()
entities.ts,292,Complaint,how_it_got_through,HowItGotThrough,no,no,enum closed
entities.ts,293,Complaint,resolution,string|null,no,yes,z.string().nullable()
entities.ts,294,Complaint,rule_id,string|null,no,yes,z.string().nullable()
entities.ts,295,Complaint,golden_offer_accepted,boolean|null,no,yes,z.boolean().nullable()
entities.ts,300,Engine,id,string,no,no,z.string()
entities.ts,301,Engine,kind,EngineKind,no,no,enum closed
entities.ts,302,Engine,enabled,boolean,no,no,z.boolean()
entities.ts,303,Engine,adapter_version,string,no,no,z.string()
entities.ts,309,EngineRoutingCell,id,string,no,no,z.string()
entities.ts,310,EngineRoutingCell,jurisdiction,string,no,no,z.string()
entities.ts,311,EngineRoutingCell,section,string,no,no,z.string()
entities.ts,312,EngineRoutingCell,seat,string,no,no,z.string()
entities.ts,313,EngineRoutingCell,engine_id,string,no,no,z.string()
entities.ts,314,EngineRoutingCell,approved_by,string,no,no,z.string() REQUIRED NON-NULL
entities.ts,315,EngineRoutingCell,approved_at,string,no,no,z.string() REQUIRED NON-NULL
entities.ts,316,EngineRoutingCell,evidence_url,string,no,no,z.string() REQUIRED NON-NULL (no .min(1) here; request form has min1)
entities.ts,326,LeaderboardCell,engine_id,string,no,no,z.string()
entities.ts,327,LeaderboardCell,section,string,no,no,z.string()
entities.ts,328,LeaderboardCell,jurisdiction,string,no,no,z.string()
entities.ts,329,LeaderboardCell,no_truth_yet,boolean,no,no,z.boolean() REQUIRED
entities.ts,330,LeaderboardCell,accuracy_by_tag,Record<string number>|null,no,yes,z.record(z.string() z.number()).nullable()
entities.ts,331,LeaderboardCell,cost_per_1k_pages_usd,number|null,no,yes,z.number().nullable()
entities.ts,332,LeaderboardCell,p95_latency_ms,number|null,no,yes,z.number().nullable() (not int)
entities.ts,333,LeaderboardCell,golden_coverage,number|null,no,yes,z.number().int().nullable()
entities.ts,339,BlindEntryInput,path,string,no,no,z.string()
entities.ts,340,BlindEntryInput,value,string|null,no,yes,z.string().nullable()
entities.ts,341,BlindEntryInput,na_reason,NaReason|null|undefined,yes,yes,NaReason.nullable().optional()
entities.ts,342,BlindEntryInput,source_citation,string,no,no,z.string().min(1) NON-EMPTY REQUIRED
entities.ts,343,BlindEntryInput,confidence,BlindConfidence,no,no,enum closed
authz.ts,30,ROLES,<const tuple>,"'reviewer'|'senior'|'ops'|'engineer'|'typist'|'admin'",no,no,TS const only - no zod
authz.ts,45,Permission,action,string,no,no,TS interface only
authz.ts,48,Permission,roles,readonly Role[],no,no,TS interface only
authz.ts,50,Permission,path,string|undefined,yes,no,TS interface only
authz.ts,52,Permission,when,Readonly<Record<string readonly (string|null)[]>>|undefined,yes,no,TS interface only
authz.ts,133,Action,<union>,derived from PERMISSIONS[].action,no,no,compile-time only
authz.ts,184,GrantedPermission,<Omit<Permission 'roles'>>,action/path?/when?,mixed,no,TS type only
workspace.ts,14,Derivation,<enum>,"'cos'|'tos'|'update'|'y'",no,no,z.enum closed
workspace.ts,18,LineApplication,<enum>,"'applies'|'narrowed'|'excluded'",no,no,z.enum closed
workspace.ts,22,ConfigProduct,id,string,no,no,z.string()
workspace.ts,23,ConfigProduct,code,string,no,no,z.string()
workspace.ts,24,ConfigProduct,full,string,no,no,z.string()
workspace.ts,25,ConfigProduct,sub,string,no,no,z.string()
workspace.ts,26,ConfigProduct,period,string,no,no,z.string()
workspace.ts,27,ConfigProduct,derivation,Derivation,no,no,enum closed
workspace.ts,28,ConfigProduct,retired,boolean,no,no,z.boolean()
workspace.ts,38,ConfigLine,id,string,no,no,z.string()
workspace.ts,39,ConfigLine,n,number,no,no,z.number().int()
workspace.ts,40,ConfigLine,label,string,no,no,z.string()
workspace.ts,41,ConfigLine,group,string,no,no,z.string()
workspace.ts,42,ConfigLine,answers,string[],no,no,z.array(z.string())
workspace.ts,43,ConfigLine,comment_on_no,boolean,no,no,z.boolean()
workspace.ts,44,ConfigLine,period_scoped,boolean,no,no,z.boolean()
workspace.ts,45,ConfigLine,machine_check,string|null,no,yes,z.string().nullable()
workspace.ts,46,ConfigLine,standard_text,string|null,no,yes,z.string().nullable()
workspace.ts,47,ConfigLine,version,number,no,no,z.number().int()
workspace.ts,48,ConfigLine,retired,boolean,no,no,z.boolean()
workspace.ts,50,ConfigLine,cells,Record<string LineApplication>,no,no,z.record(z.string() LineApplication)
workspace.ts,52,ConfigLine,scope,Record<string string>,no,no,z.record(z.string() z.string())
workspace.ts,57,ConfigResponse,config_version,string,no,no,z.string()
workspace.ts,58,ConfigResponse,frozen,boolean,no,no,z.boolean()
workspace.ts,59,ConfigResponse,products,ConfigProduct[],no,no,z.array
workspace.ts,60,ConfigResponse,lines,ConfigLine[],no,no,z.array
workspace.ts,66,OverrideType,<enum>,"'waive'|'narrow'|'replace'|'add'",no,no,z.enum closed
workspace.ts,70,ClientOverride,id,string,no,no,z.string()
workspace.ts,71,ClientOverride,type,OverrideType,no,no,enum closed
workspace.ts,72,ClientOverride,line_id,string|null,no,yes,z.string().nullable()
workspace.ts,73,ClientOverride,description,string,no,no,z.string()
workspace.ts,74,ClientOverride,note,string,no,no,z.string()
workspace.ts,75,ClientOverride,authored_by,string,no,no,z.string()
workspace.ts,76,ClientOverride,authored_at,string,no,no,z.string()
workspace.ts,81,ClientRecord,id,string,no,no,z.string()
workspace.ts,82,ClientRecord,code,string,no,no,z.string()
workspace.ts,83,ClientRecord,name,string,no,no,z.string()
workspace.ts,84,ClientRecord,product_ids,string[],no,no,z.array(z.string())
workspace.ts,85,ClientRecord,signoff_defaults,Record<string string>,no,no,z.record
workspace.ts,86,ClientRecord,overrides,ClientOverride[],no,no,z.array
workspace.ts,92,ClientRecord,sign_offs,string|undefined,yes,no,z.string().optional() (label not count)
workspace.ts,103,EffectiveLine,line_id,string,no,no,z.string()
workspace.ts,104,EffectiveLine,n,number,no,no,z.number().int()
workspace.ts,105,EffectiveLine,label,string,no,no,z.string()
workspace.ts,106,EffectiveLine,application,LineApplication,no,no,enum closed
workspace.ts,108,EffectiveLine,override_id,string|null,no,yes,z.string().nullable()
workspace.ts,109,EffectiveLine,scope_note,string|null,no,yes,z.string().nullable()
workspace.ts,114,EffectiveChecklist,client_id,string,no,no,z.string()
workspace.ts,115,EffectiveChecklist,product_id,string,no,no,z.string()
workspace.ts,116,EffectiveChecklist,lines,EffectiveLine[],no,no,z.array
workspace.ts,118,EffectiveChecklist,conflict,string|null,no,yes,z.string().nullable()
workspace.ts,119,EffectiveChecklist,conflict_acknowledged,boolean,no,no,z.boolean()
workspace.ts,124,ClientsResponse,clients,ClientRecord[],no,no,z.array
workspace.ts,125,ClientsResponse,effective,EffectiveChecklist[],no,no,z.array
intake.ts,12,SignoffAnswer,<enum>,"'YES'|'NO'|'N/A'",no,no,z.enum closed
intake.ts,26,OrderSignoffLine,line_id,string,no,no,z.string()
intake.ts,27,OrderSignoffLine,n,number,no,no,z.number().int()
intake.ts,28,OrderSignoffLine,label,string,no,no,z.string()
intake.ts,29,OrderSignoffLine,group,string,no,no,z.string()
intake.ts,30,OrderSignoffLine,answer,SignoffAnswer|null,no,yes,SignoffAnswer.nullable()
intake.ts,31,OrderSignoffLine,comment,string|null,no,yes,z.string().nullable()
intake.ts,32,OrderSignoffLine,comment_required,boolean,no,no,z.boolean()
intake.ts,41,OrderSignoffLine,answers,SignoffAnswer[],no,no,z.array(SignoffAnswer)
intake.ts,42,OrderSignoffLine,policy_suggestion,SignoffAnswer|null,no,yes,SignoffAnswer.nullable()
intake.ts,43,OrderSignoffLine,machine_check,string|null,no,yes,z.string().nullable()
intake.ts,44,OrderSignoffLine,period_scoped,boolean,no,no,z.boolean()
intake.ts,45,OrderSignoffLine,prefilled_from_policy,boolean,no,no,z.boolean()
intake.ts,50,OrderSignoffResponse,order_id,string,no,no,z.string()
intake.ts,52,OrderSignoffResponse,signed_by,string|null,no,yes,z.string().nullable()
intake.ts,53,OrderSignoffResponse,signed_at,string|null,no,yes,z.string().nullable()
intake.ts,54,OrderSignoffResponse,product_name,string,no,no,z.string() REQUIRED NON-NULL
intake.ts,55,OrderSignoffResponse,period_label,string,no,no,z.string() REQUIRED NON-NULL (contrast Order.period_label nullable)
intake.ts,56,OrderSignoffResponse,lines,OrderSignoffLine[],no,no,z.array
intake.ts,62,StagePhase,<enum>,"'done'|'running'|'halted'|'waiting'",no,no,z.enum closed
intake.ts,65,StageOwner,<enum>,"'Automated'|'LLM agent'|'You'",no,no,z.enum closed
intake.ts,69,PipelineStage,id,string,no,no,z.string()
intake.ts,70,PipelineStage,label,string,no,no,z.string()
intake.ts,71,PipelineStage,detail,string,no,no,z.string()
intake.ts,72,PipelineStage,owner,StageOwner,no,no,enum closed
intake.ts,73,PipelineStage,phase,StagePhase,no,no,enum closed
intake.ts,79,PipelineStage,count,string|null,no,yes,z.string().nullable() (label not number)
intake.ts,89,PipelineLogLine,time,string,no,no,z.string()
intake.ts,90,PipelineLogLine,text,string,no,no,z.string()
intake.ts,91,PipelineLogLine,warn,boolean,no,no,z.boolean()
intake.ts,92,PipelineLogLine,strong,boolean,no,no,z.boolean()
intake.ts,97,OrderPipelineResponse,order_id,string,no,no,z.string()
intake.ts,98,OrderPipelineResponse,total_pages,number,no,no,z.number().int() REQUIRED NON-NULL
intake.ts,99,OrderPipelineResponse,pages_relevant,number,no,no,z.number().int()
intake.ts,100,OrderPipelineResponse,classifier_note,string,no,no,z.string()
intake.ts,102,OrderPipelineResponse,gate_halted,boolean,no,no,z.boolean()
intake.ts,103,OrderPipelineResponse,stages,PipelineStage[],no,no,z.array
intake.ts,112,OrderPipelineResponse,package_name,string|null,no,yes,z.string().nullable()
intake.ts,113,OrderPipelineResponse,volume_label,string|null,no,yes,z.string().nullable()
intake.ts,114,OrderPipelineResponse,eta_label,string,no,no,z.string() REQUIRED NON-NULL
intake.ts,115,OrderPipelineResponse,run_log,PipelineLogLine[],no,no,z.array
intake.ts,116,OrderPipelineResponse,verified_checks,string[],no,no,z.array(z.string())
intake.ts,122,GapKind,<enum>,"'na_provisional'|'disagreement'|'period_short'",no,no,z.enum closed
intake.ts,131,GapCloseKind,<enum>,"'upload'|'amend'|'root_of_title'|'change_product'",no,no,z.enum closed
intake.ts,135,GapCloseOption,kind,GapCloseKind,no,no,enum closed
intake.ts,136,GapCloseOption,label,string,no,no,z.string()
intake.ts,138,GapCloseOption,consequence,string,no,no,z.string() REQUIRED NON-NULL
intake.ts,139,GapCloseOption,requires_comment,boolean,no,no,z.boolean()
intake.ts,141,GapCloseOption,min_role,string|null,no,yes,z.string().nullable() (not Role enum)
intake.ts,151,CompletenessGap,id,string,no,no,z.string()
intake.ts,152,CompletenessGap,kind,GapKind,no,no,enum closed
intake.ts,159,CompletenessGap,line_number,number,no,no,z.number().int()
intake.ts,160,CompletenessGap,line_label,string,no,no,z.string()
intake.ts,161,CompletenessGap,claim,string,no,no,z.string()
intake.ts,162,CompletenessGap,evidence,string,no,no,z.string()
intake.ts,164,CompletenessGap,close_options,GapCloseOption[],no,no,z.array
intake.ts,165,CompletenessGap,closed_by,string|null,no,yes,z.string().nullable()
intake.ts,166,CompletenessGap,closed_note,string|null,no,yes,z.string().nullable()
intake.ts,171,OrderCompletenessResponse,order_id,string,no,no,z.string()
intake.ts,173,OrderCompletenessResponse,gate_open,boolean,no,no,z.boolean()
intake.ts,174,OrderCompletenessResponse,product_name,string,no,no,z.string()
intake.ts,175,OrderCompletenessResponse,period_label,string,no,no,z.string()
intake.ts,176,OrderCompletenessResponse,gaps,CompletenessGap[],no,no,z.array
intake.ts,182,StageKind,<enum>,"'idle'|'halt'|'machine'|'done'",no,no,z.enum closed
intake.ts,193,LifecycleOrder,id,string,no,no,z.string()
intake.ts,194,LifecycleOrder,order_ref,string,no,no,z.string()
intake.ts,195,LifecycleOrder,addr,string,no,no,z.string()
intake.ts,196,LifecycleOrder,county,string,no,no,z.string()
intake.ts,197,LifecycleOrder,waiting_on,string|null,no,yes,z.string().nullable()
intake.ts,198,LifecycleOrder,waited,string|null,no,yes,z.string().nullable()
intake.ts,199,LifecycleOrder,failed,boolean,no,no,z.boolean()
intake.ts,200,LifecycleOrder,mine,boolean,no,no,z.boolean()
intake.ts,201,LifecycleOrder,state_label,string|null,no,yes,z.string().nullable() deliberately NOT an enum
intake.ts,210,LifecycleStage,id,string,no,no,z.string()
intake.ts,211,LifecycleStage,label,string,no,no,z.string()
intake.ts,219,LifecycleStage,sub,string,no,no,z.string()
intake.ts,220,LifecycleStage,waiting_on,string,no,no,z.string() REQUIRED NON-NULL (contrast LifecycleOrder.waiting_on)
intake.ts,221,LifecycleStage,kind,StageKind,no,no,enum closed
intake.ts,222,LifecycleStage,count,number,no,no,z.number().int() server census
intake.ts,223,LifecycleStage,orders,LifecycleOrder[],no,no,z.array
intake.ts,235,LifecycleFigure,label,string,no,no,z.string()
intake.ts,236,LifecycleFigure,value,number,no,no,z.number().int()
intake.ts,238,LifecycleFigure,note,string,no,no,z.string()
intake.ts,243,LifecycleResponse,scope_note,string,no,no,z.string()
intake.ts,244,LifecycleResponse,total,number,no,no,z.number().int()
intake.ts,245,LifecycleResponse,halted,number,no,no,z.number().int()
intake.ts,246,LifecycleResponse,moving,number,no,no,z.number().int()
intake.ts,247,LifecycleResponse,failed,number,no,no,z.number().int()
intake.ts,257,LifecycleResponse,active,LifecycleFigure,no,no,object required
intake.ts,258,LifecycleResponse,in_review,LifecycleFigure,no,no,object required
intake.ts,259,LifecycleResponse,queries_and_gaps,LifecycleFigure,no,no,object required
intake.ts,260,LifecycleResponse,delivered_recent,LifecycleFigure,no,no,object required
intake.ts,261,LifecycleResponse,stages,LifecycleStage[],no,no,z.array
intake.ts,275,LifecycleStamp,label,string,no,no,z.string() deliberately free string
intake.ts,276,LifecycleStamp,tone,"'neutral'|'action'|'settled'|'attend'|'halt'",no,no,inline z.enum closed
intake.ts,289,OrderStageTab,id,string,no,no,z.string() (documented stable vocabulary but unvalidated)
intake.ts,290,OrderStageTab,label,string,no,no,z.string()
intake.ts,291,OrderStageTab,done,boolean,no,no,z.boolean()
intake.ts,292,OrderStageTab,badge,string|null,no,yes,z.string().nullable() (string not number)
intake.ts,293,OrderStageTab,badge_tone,"'attend'|'settled'",no,no,inline z.enum closed
intake.ts,298,OrderContextResponse,order_id,string,no,no,z.string()
intake.ts,299,OrderContextResponse,order_ref,string,no,no,z.string()
intake.ts,300,OrderContextResponse,product,string|null,no,yes,z.string().nullable()
intake.ts,301,OrderContextResponse,period_label,string|null,no,yes,z.string().nullable()
intake.ts,302,OrderContextResponse,pages,number|null,no,yes,z.number().int().nullable()
intake.ts,303,OrderContextResponse,stamp,LifecycleStamp,no,no,object required
intake.ts,309,OrderContextResponse,place,string|null,no,yes,z.string().nullable()
intake.ts,311,OrderContextResponse,client,string|null,no,yes,z.string().nullable()
intake.ts,313,OrderContextResponse,assigned,string|null,no,yes,z.string().nullable()
intake.ts,318,OrderContextResponse,due,string|null,no,yes,z.string().nullable() label never computed
intake.ts,320,OrderContextResponse,outstanding,number|null,no,yes,z.number().int().nullable()
intake.ts,322,OrderContextResponse,stage_nav,OrderStageTab[],no,no,z.array
intake.ts,324,OrderContextResponse,stage_tabs,OrderStageTab[],no,no,z.array
intake.ts,330,AccountStatus,<enum>,"'Active'|'Suspended'|'Invited'",no,no,z.enum closed
intake.ts,333,MfaState,<enum>,"'enrolled'|'pending'|'absent'",no,no,z.enum closed
intake.ts,337,Person,id,string,no,no,z.string()
intake.ts,338,Person,name,string,no,no,z.string()
intake.ts,339,Person,email,string,no,no,z.string() NOT z.string().email()
intake.ts,340,Person,role,string,no,no,z.string() NOT the Role enum
intake.ts,341,Person,privileged,boolean,no,no,z.boolean()
intake.ts,342,Person,status,AccountStatus,no,no,enum closed
intake.ts,343,Person,mfa,MfaState,no,no,enum closed
intake.ts,353,PeopleResponse,people,Person[],no,no,z.array
intake.ts,354,PeopleResponse,privileged_without_mfa,number,no,no,z.number().int() server figure
intake.ts,361,SessionRecord,id,string,no,no,z.string()
intake.ts,362,SessionRecord,device,string,no,no,z.string()
intake.ts,363,SessionRecord,where,string,no,no,z.string()
intake.ts,364,SessionRecord,last_seen,string,no,no,z.string()
intake.ts,365,SessionRecord,current,boolean,no,no,z.boolean()
intake.ts,375,MeProfileResponse,name,string,no,no,z.string()
intake.ts,376,MeProfileResponse,email,string,no,no,z.string() NOT email-validated
intake.ts,377,MeProfileResponse,role,string,no,no,z.string() NOT Role enum
intake.ts,379,MeProfileResponse,mfa,MfaState,no,no,enum closed
intake.ts,380,MeProfileResponse,sessions,SessionRecord[],no,no,z.array
intake.ts,397,Preferences,nav_collapsed,boolean|null,no,yes,z.boolean().nullable() three-state
intake.ts,398,Preferences,reduced_motion,boolean,no,no,z.boolean()
intake.ts,399,Preferences,default_zoom,number,no,no,z.number() no bound/int
intake.ts,401,Preferences,theme,"'titlepipe'|'mocha'",no,no,z.enum().default('titlepipe') DEFAULTED (input optional output required)
intake.ts,405,PreferencesResponse,preferences,Preferences,no,no,object required
intake.ts,409,UpdatePreferencesRequest,<all>,Partial<Preferences>,yes,mixed,Preferences.partial() every key optional
design.ts,12,OrderStage,<enum>,"'unassigned'|'intake'|'machine'|'gate'|'review'|'escalated'|'delivered'",no,no,z.enum closed
design.ts,28,OrderRow,id,string,no,no,z.string()
design.ts,29,OrderRow,order_ref,string,no,no,z.string()
